ANG1;ANG2;ANG3;ANG4;TK;KG;MTSAI;FALLO
46.1353;46.0324;2.77994;90.6434;18.1911;59.157184;0.993389;0
46.1338;46.0309;2.77923;90.6434;18.1909;59.156576;0.993449;0
46.1324;46.0294;2.77852;90.6433;18.1907;59.155968;0.993506;0
46.131;46.028;2.77781;90.6433;18.1906;59.155208;0.99356;0
46.1298;46.0267;2.7771;90.6433;18.1904;59.1546;0.993611;0
46.1287;46.0255;2.77639;90.6433;18.1902;59.153992;0.993659;0
46.1277;46.0244;2.77568;90.6433;18.19;59.153384;0.993704;0
46.1267;46.0234;2.77497;90.6433;18.1898;59.152776;0.993747;0
46.1258;46.0224;2.77426;90.6432;18.1896;59.152168;0.993788;0
46.125;46.0215;2.77355;90.6432;18.1894;59.15156;0.993826;0
46.1242;46.0207;2.77284;90.6432;18.1892;59.1508;0.993863;0
46.1235;46.0199;2.77214;90.6432;18.189;59.150192;0.993897;0
46.1229;46.0192;2.77143;90.6432;18.1888;59.149584;0.99393;0
46.1223;46.0185;2.77072;90.6431;18.1886;59.148976;0.993961;0
45;45;0;90;20;65.039584;0.918235;0
45.0123;45.0119;6.19952;90;19.9884;65.00204;0.924069;0
46.1771;46.1617;6.19929;90.0931;19.3724;62.998528;0.937293;0
45.9715;45.9571;5.98066;90.1354;19.1932;62.415912;0.941099;0
45.9706;45.9562;5.9796;90.1357;19.1934;62.41652;0.941111;0
45.9672;45.9527;5.97536;90.1367;19.1932;62.415912;0.941212;0
45.8403;45.8263;5.77648;90.1875;18.9392;61.589792;0.959207;0
46.01;45.9898;5.6629;90.2201;18.8628;61.341424;0.958623;0
45.7831;45.7635;5.51753;90.238;18.7664;61.027848;0.970798;0
46.0353;45.9992;5.13096;90.3136;18.5438;60.304024;0.976394;0
46.0352;45.9991;5.13052;90.3136;18.5436;60.303416;0.976404;0
46.0291;45.993;5.1269;90.3141;18.5438;60.304024;0.976574;0
46.0223;45.9862;5.12329;90.3147;18.544;60.304632;0.976756;0
46.0181;45.982;5.12103;90.3151;18.5442;60.30524;0.97687;0
46.0143;45.9782;5.11877;90.3155;18.5443;60.305848;0.976968;0
45.8319;45.7952;4.99505;90.3397;18.4267;59.923112;0.9896;0
46.0483;45.9989;4.76953;90.3897;18.2705;59.41528;0.992677;0
46.046;45.9966;4.76827;90.3898;18.2704;59.414824;0.992755;0
46.0436;45.9942;4.76702;90.39;18.2702;59.414368;0.992836;0
46.0411;45.9917;4.76577;90.3901;18.27;59.41376;0.992921;0
46.0386;45.9891;4.76451;90.3903;18.2698;59.413152;0.99301;0
46.0358;45.9864;4.76326;90.3905;18.2696;59.412544;0.993105;0
46.0333;45.9839;4.76201;90.3907;18.2694;59.411784;0.993193;0
46.031;45.9815;4.76076;90.3909;18.2692;59.411176;0.993277;0
46.0288;45.9793;4.75951;90.3912;18.269;59.410568;0.993355;0
46.0268;45.9772;4.75825;90.3914;18.2688;59.409808;0.993429;0
46.0249;45.9753;4.757;90.3916;18.2686;59.4092;0.993498;0
46.0231;45.9736;4.75575;90.3918;18.2684;59.408592;0.993563;0
46.0215;45.9719;4.7545;90.392;18.2682;59.407832;0.993624;0
46.0199;45.9704;4.75325;90.3922;18.268;59.407224;0.993682;0
46.0185;45.969;4.75201;90.3924;18.2678;59.406616;0.993736;0
46.0172;45.9676;4.75076;90.3926;18.2676;59.406008;0.993786;0
46.016;45.9664;4.74951;90.3929;18.2675;59.4054;0.993834;0
46.0149;45.9653;4.74826;90.3931;18.2673;59.404792;0.993879;0
46.0139;45.9643;4.74701;90.3933;18.2671;59.404032;0.99392;0
46.013;45.9633;4.74576;90.3935;18.2669;59.403424;0.99396;0
46.0121;45.9624;4.74452;90.3937;18.2667;59.402816;0.993997;0
46.0113;45.9616;4.74327;90.3939;18.2665;59.402208;0.994032;0
46.0106;45.9609;4.74202;90.3942;18.2663;59.4016;0.994065;0
46.0094;45.9596;4.73978;90.3945;18.266;59.400536;0.99412;0
45.9976;45.9475;4.71384;90.3991;18.262;59.387768;0.994697;0
46.1009;46.0441;4.29381;90.473;18.2026;59.194424;0.996601;0
46.1316;46.062;3.44067;90.617;18.0913;58.832512;1.00125;1
46.1165;46.0462;3.39547;90.624;18.087;58.818528;1.00079;1
46.1145;46.0442;3.39518;90.624;18.0871;58.818984;1.00084;1
46.1106;46.0402;3.39371;90.624;18.0873;58.819592;1.00095;1
46.1079;46.0375;3.39283;90.624;18.0875;58.820048;1.00102;1
46.1052;46.0348;3.39196;90.6241;18.0876;58.820504;1.0011;1
46.1027;46.0322;3.39108;90.6241;18.0878;58.821112;1.00117;1
46.1004;46.0298;3.3902;90.6241;18.0879;58.821568;1.00123;1
46.0982;46.0276;3.38932;90.6242;18.0881;58.822024;1.00129;1
46.0962;46.0255;3.38845;90.6242;18.0883;58.822632;1.00134;1
46.0942;46.0236;3.38757;90.6243;18.0884;58.823088;1.00139;1
46.0925;46.0218;3.3867;90.6243;18.0886;58.823696;1.00143;1
46.0908;46.0201;3.38582;90.6243;18.0887;58.824152;1.00148;1
46.0893;46.0185;3.38494;90.6244;18.0889;58.824608;1.00151;1
46.0879;46.0171;3.38407;90.6244;18.089;58.825216;1.00155;1
46.0866;46.0157;3.38319;90.6244;18.0892;58.825672;1.00158;1
46.0854;46.0145;3.38232;90.6245;18.0894;58.82628;1.0016;1
46.0842;46.0133;3.38144;90.6245;18.0895;58.826736;1.00163;1
46.0832;46.0122;3.38057;90.6245;18.0897;58.827344;1.00165;1
46.0822;46.0112;3.37969;90.6246;18.0899;58.8278;1.00167;1
46.0813;46.0103;3.37882;90.6246;18.09;58.828408;1.00169;1
46.0805;46.0094;3.37795;90.6246;18.0902;58.828864;1.0017;1
46.0798;46.0086;3.37707;90.6247;18.0903;58.829472;1.00171;1
46.0791;46.0079;3.3762;90.6247;18.0905;58.829928;1.00172;1
46.0784;46.0072;3.37533;90.6247;18.0907;58.830536;1.00173;1
46.0779;46.0066;3.37445;90.6247;18.0908;58.830992;1.00174;1
46.0773;46.006;3.37358;90.6248;18.091;58.8316;1.00175;1
46.0768;46.0055;3.37271;90.6248;18.0912;58.832056;1.00175;1
46.0764;46.005;3.37184;90.6248;18.0913;58.832512;1.00175;1
46.076;46.0046;3.37096;90.6249;18.0915;58.83312;1.00176;1
46.0721;46.0003;3.36199;90.6252;18.0932;58.838592;1.00177;1
46.0613;45.9709;2.99542;90.6377;18.161;59.059296;0.997632;0
46.1606;46.0586;2.78944;90.6435;18.1933;59.164024;0.99246;0
46.1609;46.0588;2.78824;90.6435;18.1934;59.164632;0.992449;0
46.1588;46.0566;2.78753;90.6435;18.1933;59.164176;0.992518;0
46.1564;46.0543;2.78682;90.6435;18.1931;59.163568;0.9926;0
46.1539;46.0517;2.78611;90.6435;18.1929;59.16296;0.992692;0
46.152;46.0498;2.78563;90.6435;18.1928;59.162504;0.992759;0
46.1494;46.0471;2.78491;90.6435;18.1926;59.161896;0.992854;0
46.147;46.0446;2.7842;90.6435;18.1924;59.161136;0.992944;0
46.1447;46.0422;2.78349;90.6434;18.1922;59.160528;0.993029;0
46.1425;46.04;2.78278;90.6434;18.192;59.159768;0.99311;0
46.1405;46.0379;2.78207;90.6434;18.1918;59.15916;0.993186;0
46.1386;46.036;2.78136;90.6434;18.1915;59.158552;0.993257;0
46.1369;46.0341;2.78065;90.6434;18.1913;59.157792;0.993325;0
46.1353;46.0324;2.77994;90.6434;18.1911;59.157184;0.993389;0
46.1338;46.0309;2.77923;90.6434;18.1909;59.156576;0.993449;0
46.1324;46.0294;2.77852;90.6433;18.1907;59.155968;0.993506;0
46.131;46.028;2.77781;90.6433;18.1906;59.155208;0.99356;0
46.1298;46.0267;2.7771;90.6433;18.1904;59.1546;0.993611;0
46.1287;46.0255;2.77639;90.6433;18.1902;59.153992;0.993659;0
46.1277;46.0244;2.77568;90.6433;18.19;59.153384;0.993704;0
46.1267;46.0234;2.77497;90.6433;18.1898;59.152776;0.993747;0
46.1258;46.0224;2.77426;90.6432;18.1896;59.152168;0.993788;0
46.125;46.0215;2.77355;90.6432;18.1894;59.15156;0.993826;0
46.1242;46.0207;2.77284;90.6432;18.1892;59.1508;0.993863;0
46.1235;46.0199;2.77214;90.6432;18.189;59.150192;0.993897;0
46.1229;46.0192;2.77143;90.6432;18.1888;59.149584;0.99393;0
45;45;0;90;20;65.039584;0.918235;0
45.0123;45.0119;6.19952;90;19.9884;65.00204;0.924069;0
46.1771;46.1617;6.19929;90.0931;19.3724;62.998528;0.937293;0
45.9715;45.9571;5.98066;90.1354;19.1932;62.415912;0.941099;0
45.9706;45.9562;5.9796;90.1357;19.1934;62.41652;0.941111;0
45.9672;45.9527;5.97536;90.1367;19.1932;62.415912;0.941212;0
45.8403;45.8263;5.77648;90.1875;18.9392;61.589792;0.959207;0
46.01;45.9898;5.6629;90.2201;18.8628;61.341424;0.958623;0
45.7831;45.7635;5.51753;90.238;18.7664;61.027848;0.970798;0
46.0353;45.9992;5.13096;90.3136;18.5438;60.304024;0.976394;0
46.0352;45.9991;5.13052;90.3136;18.5436;60.303416;0.976404;0
46.0291;45.993;5.1269;90.3141;18.5438;60.304024;0.976574;0
46.0223;45.9862;5.12329;90.3147;18.544;60.304632;0.976756;0
46.0181;45.982;5.12103;90.3151;18.5442;60.30524;0.97687;0
46.0143;45.9782;5.11877;90.3155;18.5443;60.305848;0.976968;0
45.8319;45.7952;4.99505;90.3397;18.4267;59.923112;0.9896;0
46.0483;45.9989;4.76953;90.3897;18.2705;59.41528;0.992677;0
46.046;45.9966;4.76827;90.3898;18.2704;59.414824;0.992755;0
46.0436;45.9942;4.76702;90.39;18.2702;59.414368;0.992836;0
46.0411;45.9917;4.76577;90.3901;18.27;59.41376;0.992921;0
46.0386;45.9891;4.76451;90.3903;18.2698;59.413152;0.99301;0
46.0358;45.9864;4.76326;90.3905;18.2696;59.412544;0.993105;0
46.0333;45.9839;4.76201;90.3907;18.2694;59.411784;0.993193;0
46.031;45.9815;4.76076;90.3909;18.2692;59.411176;0.993277;0
46.0288;45.9793;4.75951;90.3912;18.269;59.410568;0.993355;0
46.0268;45.9772;4.75825;90.3914;18.2688;59.409808;0.993429;0
46.0249;45.9753;4.757;90.3916;18.2686;59.4092;0.993498;0
46.0231;45.9736;4.75575;90.3918;18.2684;59.408592;0.993563;0
46.0215;45.9719;4.7545;90.392;18.2682;59.407832;0.993624;0
46.0199;45.9704;4.75325;90.3922;18.268;59.407224;0.993682;0
46.0185;45.969;4.75201;90.3924;18.2678;59.406616;0.993736;0
46.0172;45.9676;4.75076;90.3926;18.2676;59.406008;0.993786;0
46.016;45.9664;4.74951;90.3929;18.2675;59.4054;0.993834;0
46.0149;45.9653;4.74826;90.3931;18.2673;59.404792;0.993879;0
46.0139;45.9643;4.74701;90.3933;18.2671;59.404032;0.99392;0
46.013;45.9633;4.74576;90.3935;18.2669;59.403424;0.99396;0
46.0121;45.9624;4.74452;90.3937;18.2667;59.402816;0.993997;0
46.0113;45.9616;4.74327;90.3939;18.2665;59.402208;0.994032;0
46.0106;45.9609;4.74202;90.3942;18.2663;59.4016;0.994065;0
46.0094;45.9596;4.73978;90.3945;18.266;59.400536;0.99412;0
45.9976;45.9475;4.71384;90.3991;18.262;59.387768;0.994697;0
46.1009;46.0441;4.29381;90.473;18.2026;59.194424;0.996601;0
46.1316;46.062;3.44067;90.617;18.0913;58.832512;1.00125;1
46.1165;46.0462;3.39547;90.624;18.087;58.818528;1.00079;1
46.1145;46.0442;3.39518;90.624;18.0871;58.818984;1.00084;1
46.1106;46.0402;3.39371;90.624;18.0873;58.819592;1.00095;1
46.1079;46.0375;3.39283;90.624;18.0875;58.820048;1.00102;1
46.1052;46.0348;3.39196;90.6241;18.0876;58.820504;1.0011;1
46.1027;46.0322;3.39108;90.6241;18.0878;58.821112;1.00117;1
46.1004;46.0298;3.3902;90.6241;18.0879;58.821568;1.00123;1
46.0982;46.0276;3.38933;90.6242;18.0881;58.822024;1.00129;1
46.0962;46.0255;3.38845;90.6242;18.0883;58.822632;1.00134;1
46.0942;46.0236;3.38757;90.6243;18.0884;58.823088;1.00139;1
46.0925;46.0218;3.3867;90.6243;18.0886;58.823696;1.00143;1
46.0908;46.0201;3.38582;90.6243;18.0887;58.824152;1.00148;1
46.0893;46.0185;3.38494;90.6244;18.0889;58.824608;1.00151;1
46.0879;46.0171;3.38407;90.6244;18.089;58.825216;1.00155;1
46.0866;46.0157;3.38319;90.6244;18.0892;58.825672;1.00158;1
46.0854;46.0145;3.38232;90.6245;18.0894;58.82628;1.0016;1
46.0842;46.0133;3.38144;90.6245;18.0895;58.826736;1.00163;1
46.0832;46.0122;3.38057;90.6245;18.0897;58.827344;1.00165;1
46.0822;46.0112;3.37969;90.6246;18.0899;58.8278;1.00167;1
46.0813;46.0103;3.37882;90.6246;18.09;58.828408;1.00169;1
46.0805;46.0094;3.37795;90.6246;18.0902;58.828864;1.0017;1
46.0798;46.0086;3.37707;90.6247;18.0903;58.829472;1.00171;1
46.0791;46.0079;3.3762;90.6247;18.0905;58.829928;1.00172;1
46.0784;46.0072;3.37533;90.6247;18.0907;58.830536;1.00173;1
46.0779;46.0066;3.37445;90.6247;18.0908;58.830992;1.00174;1
46.0773;46.006;3.37358;90.6248;18.091;58.8316;1.00175;1
46.0768;46.0055;3.37271;90.6248;18.0912;58.832056;1.00175;1
46.0764;46.005;3.37184;90.6248;18.0913;58.832512;1.00175;1
46.076;46.0046;3.37096;90.6249;18.0915;58.83312;1.00176;1
46.0721;46.0003;3.36199;90.6252;18.0932;58.838592;1.00177;1
46.0613;45.9709;2.99542;90.6377;18.161;59.059296;0.997632;0
46.1606;46.0586;2.78944;90.6435;18.1933;59.164024;0.99246;0
46.1609;46.0588;2.78824;90.6435;18.1934;59.164632;0.992449;0
46.1588;46.0566;2.78753;90.6435;18.1933;59.164176;0.992518;0
46.1564;46.0543;2.78682;90.6435;18.1931;59.163568;0.9926;0
46.1539;46.0517;2.78611;90.6435;18.1929;59.16296;0.992692;0
46.152;46.0498;2.78563;90.6435;18.1928;59.162504;0.992759;0
46.1494;46.0471;2.78491;90.6435;18.1926;59.161896;0.992854;0
46.147;46.0446;2.7842;90.6435;18.1924;59.161136;0.992944;0
46.1447;46.0422;2.78349;90.6434;18.1922;59.160528;0.993029;0
46.1425;46.04;2.78278;90.6434;18.192;59.159768;0.99311;0
46.1405;46.0379;2.78207;90.6434;18.1918;59.15916;0.993186;0
46.1386;46.036;2.78136;90.6434;18.1915;59.158552;0.993257;0
46.1369;46.0341;2.78065;90.6434;18.1913;59.157792;0.993325;0
46.1353;46.0324;2.77994;90.6434;18.1911;59.157184;0.993389;0
46.1338;46.0309;2.77923;90.6434;18.1909;59.156576;0.993449;0
46.1324;46.0294;2.77852;90.6433;18.1907;59.155968;0.993506;0
46.131;46.028;2.77781;90.6433;18.1906;59.155208;0.99356;0
46.1298;46.0267;2.7771;90.6433;18.1904;59.1546;0.993611;0
46.1287;46.0255;2.77639;90.6433;18.1902;59.153992;0.993659;0
46.1277;46.0244;2.77568;90.6433;18.19;59.153384;0.993704;0
46.1267;46.0234;2.77497;90.6433;18.1898;59.152776;0.993747;0
46.1258;46.0224;2.77426;90.6432;18.1896;59.152168;0.993788;0
46.125;46.0215;2.77355;90.6432;18.1894;59.15156;0.993826;0
46.1242;46.0207;2.77284;90.6432;18.1892;59.1508;0.993863;0
46.1235;46.0199;2.77214;90.6432;18.189;59.150192;0.993897;0
46.1229;46.0192;2.77143;90.6432;18.1888;59.149584;0.99393;0
46.1223;46.0185;2.77072;90.6431;18.1886;59.148976;0.993961;0
45;45;0;90;20;65.039584;0.918235;0
45.0123;45.0119;6.19952;90;19.9884;65.00204;0.924069;0
46.1771;46.1617;6.19929;90.0931;19.3724;62.998528;0.937293;0
45.9715;45.9571;5.98066;90.1354;19.1932;62.415912;0.941099;0
45.9706;45.9562;5.9796;90.1357;19.1934;62.41652;0.941111;0
45.9672;45.9527;5.97536;90.1367;19.1932;62.415912;0.941212;0
45.8403;45.8263;5.77648;90.1875;18.9392;61.589792;0.959207;0
46.01;45.9898;5.6629;90.2201;18.8628;61.341424;0.958623;0
45.7831;45.7635;5.51753;90.238;18.7664;61.027848;0.970798;0
46.0353;45.9992;5.13096;90.3136;18.5438;60.304024;0.976394;0
46.0352;45.9991;5.13052;90.3136;18.5436;60.303416;0.976404;0
46.0291;45.993;5.1269;90.3141;18.5438;60.304024;0.976574;0
46.0223;45.9862;5.12329;90.3147;18.544;60.304632;0.976756;0
46.0181;45.982;5.12103;90.3151;18.5442;60.30524;0.97687;0
46.0143;45.9782;5.11877;90.3155;18.5443;60.305848;0.976968;0
45.8319;45.7952;4.99505;90.3397;18.4267;59.923112;0.9896;0
46.0483;45.9989;4.76953;90.3897;18.2705;59.41528;0.992677;0
46.046;45.9966;4.76827;90.3898;18.2704;59.414824;0.992755;0
46.0436;45.9942;4.76702;90.39;18.2702;59.414368;0.992836;0
46.0411;45.9917;4.76577;90.3901;18.27;59.41376;0.992921;0
46.0386;45.9891;4.76451;90.3903;18.2698;59.413152;0.99301;0
46.0358;45.9864;4.76326;90.3905;18.2696;59.412544;0.993105;0
46.0333;45.9839;4.76201;90.3907;18.2694;59.411784;0.993193;0
46.031;45.9815;4.76076;90.3909;18.2692;59.411176;0.993277;0
46.0288;45.9793;4.75951;90.3912;18.269;59.410568;0.993355;0
46.0268;45.9772;4.75825;90.3914;18.2688;59.409808;0.993429;0
46.0249;45.9753;4.757;90.3916;18.2686;59.4092;0.993498;0
46.0231;45.9736;4.75575;90.3918;18.2684;59.408592;0.993563;0
46.0215;45.9719;4.7545;90.392;18.2682;59.407832;0.993624;0
46.0199;45.9704;4.75325;90.3922;18.268;59.407224;0.993682;0
46.0185;45.969;4.75201;90.3924;18.2678;59.406616;0.993736;0
46.0172;45.9676;4.75076;90.3926;18.2676;59.406008;0.993786;0
46.016;45.9664;4.74951;90.3929;18.2675;59.4054;0.993834;0
46.0149;45.9653;4.74826;90.3931;18.2673;59.404792;0.993879;0
46.0139;45.9643;4.74701;90.3933;18.2671;59.404032;0.99392;0
46.013;45.9633;4.74576;90.3935;18.2669;59.403424;0.99396;0
46.0121;45.9624;4.74452;90.3937;18.2667;59.402816;0.993997;0
46.0113;45.9616;4.74327;90.3939;18.2665;59.402208;0.994032;0
46.0106;45.9609;4.74202;90.3942;18.2663;59.4016;0.994065;0
46.0094;45.9596;4.73978;90.3945;18.266;59.400536;0.99412;0
45.9976;45.9475;4.71384;90.3991;18.262;59.387768;0.994697;0
46.1009;46.0441;4.2938;90.473;18.2026;59.194424;0.996601;0
46.1316;46.062;3.44067;90.617;18.0913;58.832512;1.00125;1
46.1165;46.0462;3.39547;90.624;18.087;58.818528;1.00079;1
46.1145;46.0442;3.39518;90.624;18.0871;58.818984;1.00084;1
46.1106;46.0402;3.39371;90.624;18.0873;58.819592;1.00095;1
46.1079;46.0375;3.39283;90.624;18.0875;58.820048;1.00102;1
46.1052;46.0348;3.39196;90.6241;18.0876;58.820504;1.0011;1
46.1027;46.0322;3.39108;90.6241;18.0878;58.821112;1.00117;1
46.1004;46.0298;3.3902;90.6241;18.0879;58.821568;1.00123;1
46.0982;46.0276;3.38932;90.6242;18.0881;58.822024;1.00129;1
46.0962;46.0255;3.38845;90.6242;18.0883;58.822632;1.00134;1
46.0942;46.0236;3.38757;90.6243;18.0884;58.823088;1.00139;1
46.0925;46.0218;3.3867;90.6243;18.0886;58.823696;1.00143;1
46.0908;46.0201;3.38582;90.6243;18.0887;58.824152;1.00148;1
46.0893;46.0185;3.38494;90.6244;18.0889;58.824608;1.00151;1
46.0879;46.0171;3.38407;90.6244;18.089;58.825216;1.00155;1
46.0866;46.0157;3.38319;90.6244;18.0892;58.825672;1.00158;1
46.0854;46.0145;3.38232;90.6245;18.0894;58.82628;1.0016;1
46.0842;46.0133;3.38144;90.6245;18.0895;58.826736;1.00163;1
46.0832;46.0122;3.38057;90.6245;18.0897;58.827344;1.00165;1
46.0822;46.0112;3.37969;90.6246;18.0899;58.8278;1.00167;1
46.0813;46.0103;3.37882;90.6246;18.09;58.828408;1.00169;1
46.0805;46.0094;3.37795;90.6246;18.0902;58.828864;1.0017;1
46.0798;46.0086;3.37707;90.6247;18.0903;58.829472;1.00171;1
46.0791;46.0079;3.3762;90.6247;18.0905;58.829928;1.00172;1
46.0784;46.0072;3.37533;90.6247;18.0907;58.830536;1.00173;1
46.0779;46.0066;3.37445;90.6247;18.0908;58.830992;1.00174;1
46.0773;46.006;3.37358;90.6248;18.091;58.8316;1.00175;1
46.0768;46.0055;3.37271;90.6248;18.0912;58.832056;1.00175;1
46.0764;46.005;3.37184;90.6248;18.0913;58.832512;1.00175;1
46.076;46.0046;3.37096;90.6249;18.0915;58.83312;1.00176;1
46.0721;46.0003;3.36199;90.6252;18.0932;58.838592;1.00177;1
46.0613;45.9709;2.99542;90.6377;18.161;59.059296;0.997632;0
46.1606;46.0586;2.78944;90.6435;18.1933;59.164024;0.99246;0
46.1609;46.0588;2.78824;90.6435;18.1934;59.164632;0.992449;0
46.1588;46.0566;2.78753;90.6435;18.1933;59.164176;0.992518;0
46.1564;46.0543;2.78682;90.6435;18.1931;59.163568;0.9926;0
46.1539;46.0517;2.78611;90.6435;18.1929;59.16296;0.992692;0
46.152;46.0498;2.78563;90.6435;18.1928;59.162504;0.992759;0
46.1494;46.0471;2.78491;90.6435;18.1926;59.161896;0.992854;0
46.147;46.0446;2.7842;90.6435;18.1924;59.161136;0.992944;0
46.1447;46.0422;2.78349;90.6434;18.1922;59.160528;0.993029;0
46.1425;46.04;2.78278;90.6434;18.192;59.159768;0.99311;0
46.1405;46.0379;2.78207;90.6434;18.1918;59.15916;0.993186;0
46.1386;46.036;2.78136;90.6434;18.1915;59.158552;0.993257;0
46.1369;46.0341;2.78065;90.6434;18.1913;59.157792;0.993325;0
46.1353;46.0324;2.77994;90.6434;18.1911;59.157184;0.993389;0
46.1338;46.0309;2.77923;90.6434;18.1909;59.156576;0.993449;0
46.1324;46.0294;2.77852;90.6433;18.1907;59.155968;0.993506;0
46.131;46.028;2.77781;90.6433;18.1906;59.155208;0.99356;0
46.1298;46.0267;2.7771;90.6433;18.1904;59.1546;0.993611;0
46.1287;46.0255;2.77639;90.6433;18.1902;59.153992;0.993659;0
46.1277;46.0244;2.77568;90.6433;18.19;59.153384;0.993704;0
46.1267;46.0234;2.77497;90.6433;18.1898;59.152776;0.993747;0
46.1258;46.0224;2.77426;90.6432;18.1896;59.152168;0.993788;0
46.125;46.0215;2.77355;90.6432;18.1894;59.15156;0.993826;0
46.1242;46.0207;2.77284;90.6432;18.1892;59.1508;0.993863;0
46.1235;46.0199;2.77214;90.6432;18.189;59.150192;0.993897;0
46.1229;46.0192;2.77143;90.6432;18.1888;59.149584;0.99393;0
46.1223;46.0185;2.77072;90.6431;18.1886;59.148976;0.993961;0
45;45;0;90;20;65.039584;0.918235;0
45.0123;45.0119;6.19952;90;19.9884;65.00204;0.924069;0
46.1771;46.1617;6.19929;90.0931;19.3724;62.998528;0.937293;0
45.9715;45.9571;5.98066;90.1354;19.1932;62.415912;0.941099;0
45.9706;45.9562;5.9796;90.1357;19.1934;62.41652;0.941111;0
45.9672;45.9527;5.97536;90.1367;19.1932;62.415912;0.941212;0
45.8403;45.8263;5.77648;90.1875;18.9392;61.589792;0.959207;0
46.01;45.9898;5.6629;90.2201;18.8628;61.341424;0.958623;0
45.7831;45.7635;5.51753;90.238;18.7664;61.027848;0.970798;0
46.0353;45.9992;5.13096;90.3136;18.5438;60.304024;0.976394;0
46.0352;45.9991;5.13052;90.3136;18.5436;60.303416;0.976404;0
46.0291;45.993;5.1269;90.3141;18.5438;60.304024;0.976574;0
46.0223;45.9862;5.12329;90.3147;18.544;60.304632;0.976756;0
46.0181;45.982;5.12103;90.3151;18.5442;60.30524;0.97687;0
46.0143;45.9782;5.11877;90.3155;18.5443;60.305848;0.976968;0
45.8319;45.7952;4.99505;90.3397;18.4267;59.923112;0.9896;0
46.0483;45.9989;4.76953;90.3897;18.2705;59.41528;0.992677;0
46.046;45.9966;4.76827;90.3898;18.2704;59.414824;0.992755;0
46.0436;45.9942;4.76702;90.39;18.2702;59.414368;0.992836;0
46.0411;45.9917;4.76577;90.3901;18.27;59.41376;0.992921;0
46.0386;45.9891;4.76451;90.3903;18.2698;59.413152;0.99301;0
46.0358;45.9864;4.76326;90.3905;18.2696;59.412544;0.993105;0
46.0333;45.9839;4.76201;90.3907;18.2694;59.411784;0.993193;0
46.031;45.9815;4.76076;90.3909;18.2692;59.411176;0.993277;0
46.0288;45.9793;4.75951;90.3912;18.269;59.410568;0.993355;0
46.0268;45.9772;4.75825;90.3914;18.2688;59.409808;0.993429;0
46.0249;45.9753;4.757;90.3916;18.2686;59.4092;0.993498;0
46.0231;45.9736;4.75575;90.3918;18.2684;59.408592;0.993563;0
46.0215;45.9719;4.7545;90.392;18.2682;59.407832;0.993624;0
46.0199;45.9704;4.75325;90.3922;18.268;59.407224;0.993682;0
46.0185;45.969;4.75201;90.3924;18.2678;59.406616;0.993736;0
46.0172;45.9676;4.75076;90.3926;18.2676;59.406008;0.993786;0
46.016;45.9664;4.74951;90.3929;18.2675;59.4054;0.993834;0
46.0149;45.9653;4.74826;90.3931;18.2673;59.404792;0.993879;0
46.0139;45.9643;4.74701;90.3933;18.2671;59.404032;0.99392;0
46.013;45.9633;4.74576;90.3935;18.2669;59.403424;0.99396;0
46.0121;45.9624;4.74452;90.3937;18.2667;59.402816;0.993997;0
46.0113;45.9616;4.74327;90.3939;18.2665;59.402208;0.994032;0
46.0106;45.9609;4.74202;90.3942;18.2663;59.4016;0.994065;0
46.0094;45.9596;4.73978;90.3945;18.266;59.400536;0.99412;0
45.9976;45.9475;4.71384;90.3991;18.262;59.387768;0.994697;0
46.1009;46.0441;4.29381;90.473;18.2026;59.194424;0.996601;0
46.1316;46.062;3.44067;90.617;18.0913;58.832512;1.00125;1
46.1165;46.0462;3.39547;90.624;18.087;58.818528;1.00079;1
46.1145;46.0442;3.39518;90.624;18.0871;58.818984;1.00084;1
46.1106;46.0402;3.39371;90.624;18.0873;58.819592;1.00095;1
46.1079;46.0375;3.39283;90.624;18.0875;58.820048;1.00102;1
46.1052;46.0348;3.39196;90.6241;18.0876;58.820504;1.0011;1
46.1027;46.0322;3.39108;90.6241;18.0878;58.821112;1.00117;1
46.1004;46.0298;3.3902;90.6241;18.0879;58.821568;1.00123;1
46.0982;46.0276;3.38932;90.6242;18.0881;58.822024;1.00129;1
46.0962;46.0255;3.38845;90.6242;18.0883;58.822632;1.00134;1
46.0942;46.0236;3.38757;90.6243;18.0884;58.823088;1.00139;1
46.0925;46.0218;3.3867;90.6243;18.0886;58.823696;1.00143;1
46.0908;46.0201;3.38582;90.6243;18.0887;58.824152;1.00148;1
46.0893;46.0185;3.38494;90.6244;18.0889;58.824608;1.00151;1
46.0879;46.0171;3.38407;90.6244;18.089;58.825216;1.00155;1
46.0866;46.0157;3.38319;90.6244;18.0892;58.825672;1.00158;1
46.0854;46.0145;3.38232;90.6245;18.0894;58.82628;1.0016;1
46.0842;46.0133;3.38144;90.6245;18.0895;58.826736;1.00163;1
46.0832;46.0122;3.38057;90.6245;18.0897;58.827344;1.00165;1
46.0822;46.0112;3.37969;90.6246;18.0899;58.8278;1.00167;1
46.0813;46.0103;3.37882;90.6246;18.09;58.828408;1.00169;1
46.0805;46.0094;3.37795;90.6246;18.0902;58.828864;1.0017;1
46.0798;46.0086;3.37707;90.6247;18.0903;58.829472;1.00171;1
46.0791;46.0079;3.3762;90.6247;18.0905;58.829928;1.00172;1
46.0784;46.0072;3.37533;90.6247;18.0907;58.830536;1.00173;1
